Relatorio de Deteccao de Objetos Cortantes
==================================================
Objeto detectado no tempo: 2.83 segundos
Objeto detectado no tempo: 2.93 segundos
Objeto detectado no tempo: 3.00 segundos
Objeto detectado no tempo: 3.03 segundos
Objeto detectado no tempo: 3.07 segundos
Objeto detectado no tempo: 3.10 segundos
Objeto detectado no tempo: 3.13 segundos
Objeto detectado no tempo: 3.73 segundos
Objeto detectado no tempo: 5.37 segundos
Objeto detectado no tempo: 5.57 segundos
Objeto detectado no tempo: 5.93 segundos
Objeto detectado no tempo: 7.17 segundos
Objeto detectado no tempo: 7.67 segundos
Objeto detectado no tempo: 8.83 segundos
Objeto detectado no tempo: 8.97 segundos
Objeto detectado no tempo: 9.10 segundos
Objeto detectado no tempo: 9.23 segundos
Objeto detectado no tempo: 9.33 segundos
Objeto detectado no tempo: 9.47 segundos
Objeto detectado no tempo: 9.73 segundos
Objeto detectado no tempo: 9.93 segundos
Objeto detectado no tempo: 10.13 segundos
Objeto detectado no tempo: 10.33 segundos
Objeto detectado no tempo: 10.47 segundos
Objeto detectado no tempo: 10.73 segundos
Objeto detectado no tempo: 10.97 segundos
Objeto detectado no tempo: 11.13 segundos
Objeto detectado no tempo: 11.33 segundos
Objeto detectado no tempo: 15.20 segundos
Objeto detectado no tempo: 15.30 segundos
Objeto detectado no tempo: 15.60 segundos
Objeto detectado no tempo: 15.67 segundos
Objeto detectado no tempo: 15.70 segundos
Objeto detectado no tempo: 15.73 segundos
Objeto detectado no tempo: 15.77 segundos
Objeto detectado no tempo: 15.87 segundos
Objeto detectado no tempo: 15.90 segundos
Objeto detectado no tempo: 15.97 segundos
Objeto detectado no tempo: 16.00 segundos
Objeto detectado no tempo: 16.10 segundos
Objeto detectado no tempo: 16.13 segundos
Objeto detectado no tempo: 16.17 segundos
Objeto detectado no tempo: 16.20 segundos
Objeto detectado no tempo: 16.27 segundos
Objeto detectado no tempo: 16.30 segundos
Objeto detectado no tempo: 16.33 segundos
Objeto detectado no tempo: 16.47 segundos
Objeto detectado no tempo: 16.50 segundos
Objeto detectado no tempo: 16.53 segundos
Objeto detectado no tempo: 16.57 segundos
Objeto detectado no tempo: 16.63 segundos
Objeto detectado no tempo: 16.67 segundos
Objeto detectado no tempo: 16.70 segundos
Objeto detectado no tempo: 16.73 segundos
Objeto detectado no tempo: 16.77 segundos
Objeto detectado no tempo: 16.80 segundos
Objeto detectado no tempo: 16.87 segundos
Objeto detectado no tempo: 16.90 segundos
Objeto detectado no tempo: 16.93 segundos
Objeto detectado no tempo: 16.97 segundos
Objeto detectado no tempo: 17.00 segundos
Objeto detectado no tempo: 17.07 segundos
Objeto detectado no tempo: 17.10 segundos
Objeto detectado no tempo: 17.13 segundos
Objeto detectado no tempo: 17.17 segundos
Objeto detectado no tempo: 17.20 segundos
Objeto detectado no tempo: 17.33 segundos
Objeto detectado no tempo: 17.90 segundos
Objeto detectado no tempo: 18.17 segundos
Objeto detectado no tempo: 18.23 segundos
Objeto detectado no tempo: 18.33 segundos
Objeto detectado no tempo: 18.40 segundos
Objeto detectado no tempo: 18.53 segundos
Objeto detectado no tempo: 18.80 segundos
Objeto detectado no tempo: 19.53 segundos
Objeto detectado no tempo: 19.73 segundos
Objeto detectado no tempo: 19.87 segundos
Objeto detectado no tempo: 20.03 segundos
Objeto detectado no tempo: 20.07 segundos
Objeto detectado no tempo: 20.13 segundos
Objeto detectado no tempo: 20.17 segundos
Objeto detectado no tempo: 20.23 segundos
Objeto detectado no tempo: 20.57 segundos
Objeto detectado no tempo: 20.67 segundos
Objeto detectado no tempo: 20.73 segundos
Objeto detectado no tempo: 20.83 segundos
Objeto detectado no tempo: 20.87 segundos
Objeto detectado no tempo: 20.90 segundos
Objeto detectado no tempo: 20.97 segundos
Objeto detectado no tempo: 21.23 segundos
Objeto detectado no tempo: 21.30 segundos
Objeto detectado no tempo: 21.33 segundos
Objeto detectado no tempo: 21.37 segundos
Objeto detectado no tempo: 21.53 segundos
Objeto detectado no tempo: 21.63 segundos
Objeto detectado no tempo: 21.67 segundos
Objeto detectado no tempo: 21.97 segundos
Objeto detectado no tempo: 22.03 segundos
Objeto detectado no tempo: 22.13 segundos
Objeto detectado no tempo: 22.20 segundos
Objeto detectado no tempo: 22.30 segundos
Objeto detectado no tempo: 22.33 segundos
Objeto detectado no tempo: 22.37 segundos
Objeto detectado no tempo: 22.40 segundos
Objeto detectado no tempo: 22.47 segundos
Objeto detectado no tempo: 22.50 segundos
Objeto detectado no tempo: 22.53 segundos
Objeto detectado no tempo: 22.57 segundos
Objeto detectado no tempo: 22.63 segundos
Objeto detectado no tempo: 22.67 segundos
Objeto detectado no tempo: 22.80 segundos
Objeto detectado no tempo: 22.87 segundos
Objeto detectado no tempo: 22.93 segundos
Objeto detectado no tempo: 23.07 segundos
Objeto detectado no tempo: 23.33 segundos
Objeto detectado no tempo: 23.50 segundos
Objeto detectado no tempo: 24.17 segundos
Objeto detectado no tempo: 25.53 segundos
Objeto detectado no tempo: 26.60 segundos
Objeto detectado no tempo: 28.60 segundos
Objeto detectado no tempo: 28.77 segundos
Objeto detectado no tempo: 29.13 segundos
Objeto detectado no tempo: 34.07 segundos
Objeto detectado no tempo: 35.13 segundos
Objeto detectado no tempo: 35.30 segundos
Objeto detectado no tempo: 35.87 segundos
Objeto detectado no tempo: 37.07 segundos
